Time	A	B	C	D	E	F	G	H	I	J
2/15/2001	0.011096666	0.33014659	0.170318725	0.182573994	0.914315519	0.624799369	0.6214648	0.166666667	0	0.768139703
3/15/2001	0.013959823	0.304015296	0.158366534	0.159960093	0.914315519	0.624799369	0.6214648	0.290960452	0	0.776878497
4/15/2001	0.016513449	0.323773104	0.204515272	0.24875291	0.914315519	0.624799369	0.6214648	0.54519774	0.030992417	0.783971895
5/15/2001	0.012365741	0.38623327	0.247343958	0.318257399	0.914315519	0.624799369	0.6214648	0.683615819	0.149686779	0.78667957
6/15/2001	0.014841985	0.414276609	0.211155378	0.240438976	0.914315519	0.624799369	0.6214648	0.807909605	0.404879657	0.781207973
7/15/2001	0.011499056	0.391332059	0.151394422	0.143332225	0.914315519	0.624799369	0.6214648	0.918079096	0.683811408	0.765592157
8/15/2001	0.011328814	0.370299554	0.158366534	0.209511141	0.914315519	0.624799369	0.6214648	0.903954802	0.57335971	0.74241969
9/15/2001	0.009053765	0.324410453	0.182934927	0.262387762	0.914315519	0.624799369	0.6214648	0.731638418	0.137487636	0.716319942
10/15/2001	0.010585941	0.201402167	0.113877822	0.142334553	0.914315519	0.624799369	0.6214648	0.576271186	0.013517969	0.691487896
11/15/2001	0.013387192	0.184831103	0.069721116	0.087795145	0.914315519	0.624799369	0.6214648	0.505649718	0	0.669715601
12/15/2001	0.013836011	0.141491396	0.045484728	0.071167276	0.914315519	0.624799369	0.6214648	0.299435028	0	0.654824485
1/15/2002	0.015940818	0.146590185	0.054448871	0.065513801	0.952267755	0.658448355	0.655340073	0.274011299	0	0.642609227
2/15/2002	0.013681246	0.137029955	0.057768924	0.063851014	0.952267755	0.658448355	0.655340073	0.257062147	0	0.634442208
3/15/2002	0.015151515	0.128744423	0.10690571	0.132357832	0.952267755	0.658448355	0.655340073	0.279661017	0	0.625626579
4/15/2002	0.015600334	0.164435946	0.148074369	0.174592617	0.952267755	0.658448355	0.655340073	0.519774011	0.089350478	0.611767113
